Model,Accuracy,Churn Precision,Churn Recall,Churn F1
Logistic Regression,0.8069552874378992,0.6583850931677019,0.5668449197860963,0.6091954022988506
Balanced Logistic Regression,0.7395315826827538,0.5060240963855421,0.786096256684492,0.6157068062827226
Random Forest,0.7863733144073811,0.6289752650176679,0.47593582887700536,0.5418569254185692
